date,foreTotalRadiation,foreWindSpeed,foreWindDirection,foreHumidity,foreTemp,forePressure,OT
2022-09-11 09:30:00,143.0,0.18,196.1,95.9,19.4,1012.1,10.395
2022-09-11 09:45:00,153.3,0.17,239.0,95.8,19.5,1011.9,10.098
2022-09-11 10:00:00,163.6,0.17,282.0,95.7,19.5,1011.8,7.171
2022-09-11 10:15:00,177.3,0.19,305.8,95.5,19.6,1011.5,5.814
2022-09-11 10:30:00,191.1,0.2,329.7,95.3,19.7,1011.3,7.029
2022-09-11 10:45:00,204.8,0.22,353.5,95.1,19.7,1011.1,8.466
2022-09-11 11:00:00,218.5,0.24,17.3,94.9,19.8,1010.8,9.212
2022-09-11 11:15:00,249.6,0.33,39.6,94.1,19.9,1010.7,10.302
2022-09-11 11:30:00,280.7,0.41,61.8,93.3,20.0,1010.6,11.832
2022-09-11 11:45:00,311.8,0.5,84.1,92.4,20.0,1010.4,12.342
2022-09-11 12:00:00,342.9,0.59,106.3,91.6,20.1,1010.3,10.197
2022-09-11 12:15:00,352.1,0.67,105.5,90.3,20.2,1010.2,9.702
2022-09-11 12:30:00,361.2,0.76,104.7,88.9,20.3,1010.0,14.157
2022-09-11 12:45:00,370.3,0.85,104.0,87.5,20.4,1009.9,19.796
2022-09-11 13:00:00,379.4,0.93,103.2,86.1,20.5,1009.8,16.766
2022-09-11 13:15:00,350.0,0.9,102.7,85.7,20.6,1009.6,16.6
2022-09-11 13:30:00,320.5,0.88,102.2,85.3,20.6,1009.5,14.949
2022-09-11 13:45:00,291.1,0.85,101.7,84.9,20.7,1009.3,16.533
2022-09-11 14:00:00,261.6,0.82,101.2,84.5,20.7,1009.1,14.994
2022-09-11 14:15:00,265.8,0.81,101.6,84.6,20.7,1009.0,10.593
2022-09-11 14:30:00,270.0,0.8,102.0,84.7,20.7,1008.9,11.781
2022-09-11 14:45:00,274.2,0.79,102.4,84.8,20.7,1008.8,13.77
2022-09-11 15:00:00,278.4,0.77,102.8,84.9,20.7,1008.7,16.66
2022-09-11 15:15:00,270.1,0.86,102.3,84.9,20.7,1008.6,19.482
2022-09-11 15:30:00,261.8,0.95,101.9,84.9,20.7,1008.6,21.266
2022-09-11 15:45:00,253.5,1.03,101.4,85.0,20.7,1008.5,26.334
2022-09-11 16:00:00,245.2,1.12,100.9,85.0,20.7,1008.4,27.846
2022-09-11 16:15:00,228.5,1.08,102.2,85.1,20.7,1008.4,28.908
2022-09-11 16:30:00,211.9,1.03,103.5,85.2,20.7,1008.4,29.792
2022-09-11 16:45:00,195.3,0.99,104.7,85.3,20.7,1008.4,34.104
2022-09-11 17:00:00,178.6,0.94,106.0,85.4,20.7,1008.4,38.481
2022-09-11 17:15:00,157.3,0.98,102.9,86.0,20.6,1008.4,28.017
2022-09-11 17:30:00,136.0,1.03,99.9,86.6,20.5,1008.4,18.13
2022-09-11 17:45:00,114.7,1.07,96.8,87.3,20.5,1008.4,11.817
2022-09-11 18:00:00,93.4,1.11,93.7,87.9,20.4,1008.4,7.524
2022-09-11 18:15:00,71.3,1.04,92.5,89.7,20.2,1008.5,3.9
2022-09-11 18:30:00,49.2,0.96,91.3,91.4,20.1,1008.6,0.808
2022-09-11 18:45:00,49.2,0.96,91.3,91.4,20.1,1008.6,0.808
2022-09-11 19:00:00,49.2,0.96,91.3,91.4,20.1,1008.6,0.808
2022-09-12 07:00:00,23.3,0.51,55.6,97.5,18.2,1011.6,1.078
2022-09-12 07:15:00,49.7,0.5,53.8,96.7,18.4,1011.7,2.754
2022-09-12 07:30:00,76.1,0.5,52.0,95.8,18.6,1011.7,4.9
2022-09-12 07:45:00,102.5,0.5,50.3,95.0,18.8,1011.7,6.464
2022-09-12 08:00:00,128.9,0.5,48.5,94.2,19.0,1011.7,7.65
2022-09-12 08:15:00,157.8,0.49,54.7,94.3,19.1,1011.6,8.4
2022-09-12 08:30:00,186.6,0.48,61.0,94.3,19.2,1011.5,9.016
2022-09-12 08:45:00,215.4,0.48,67.2,94.4,19.4,1011.3,10.2
2022-09-12 09:00:00,244.2,0.47,73.5,94.5,19.5,1011.2,13.9
2022-09-12 09:15:00,251.4,0.46,77.6,94.3,19.6,1011.0,13.974
2022-09-12 09:30:00,258.5,0.44,81.7,94.2,19.8,1010.8,12.12
2022-09-12 09:45:00,265.7,0.42,85.9,94.1,19.9,1010.6,12.642
2022-09-12 10:00:00,272.9,0.41,90.0,94.0,20.1,1010.4,14.256
2022-09-12 10:15:00,297.4,0.46,92.4,92.0,20.1,1010.2,19.584
2022-09-12 10:30:00,321.9,0.5,94.8,90.0,20.2,1010.0,23.067
2022-09-12 10:45:00,346.4,0.55,97.2,88.0,20.3,1009.9,32.436
2022-09-12 11:00:00,370.9,0.6,99.6,86.1,20.4,1009.7,46.06
2022-09-12 11:15:00,422.2,0.64,93.5,85.4,20.5,1009.6,51.714
2022-09-12 11:30:00,473.4,0.68,87.4,84.8,20.6,1009.4,46.258
2022-09-12 11:45:00,524.7,0.72,81.4,84.1,20.7,1009.3,61.4
2022-09-12 12:00:00,575.9,0.77,75.3,83.5,20.8,1009.2,62.118
2022-09-12 12:15:00,578.2,0.75,75.1,82.8,21.0,1009.0,79.282
2022-09-12 12:30:00,580.5,0.74,74.9,82.1,21.2,1008.8,100.45
2022-09-12 12:45:00,582.7,0.73,74.6,81.5,21.4,1008.6,117.665
2022-09-12 13:00:00,585.0,0.72,74.4,80.8,21.6,1008.4,99.246
2022-09-12 13:15:00,580.8,0.69,80.7,80.5,21.7,1008.3,74.4
2022-09-12 13:30:00,576.5,0.66,86.9,80.2,21.8,1008.1,63.1
2022-09-12 13:45:00,572.3,0.64,93.2,79.9,21.8,1008.0,47.874
2022-09-12 14:00:00,568.1,0.61,99.5,79.7,21.9,1007.8,37.944
2022-09-12 14:15:00,550.5,0.68,98.8,79.7,21.9,1007.7,31.086
2022-09-12 14:30:00,533.0,0.76,98.1,79.8,22.0,1007.6,28.028
2022-09-12 14:45:00,515.4,0.83,97.4,79.9,22.0,1007.6,21.21
2022-09-12 15:00:00,497.8,0.91,96.7,79.9,22.1,1007.5,24.7
2022-09-12 15:15:00,460.7,0.91,96.8,80.1,22.1,1007.5,31.066
2022-09-12 15:30:00,423.6,0.91,96.9,80.2,22.0,1007.4,39.204
2022-09-12 15:45:00,386.5,0.91,97.0,80.3,22.0,1007.4,56.252
2022-09-12 16:00:00,349.4,0.91,97.1,80.5,22.0,1007.3,57.918
2022-09-12 16:15:00,319.2,0.94,98.3,80.8,21.9,1007.4,53.244
2022-09-12 16:30:00,289.0,0.96,99.5,81.1,21.8,1007.4,40.501
2022-09-12 16:45:00,258.8,0.99,100.8,81.4,21.7,1007.4,25.382
2022-09-12 17:00:00,228.6,1.02,102.0,81.7,21.6,1007.4,20.988
2022-09-12 17:15:00,196.0,1.05,99.1,82.3,21.5,1007.5,17.0
2022-09-12 17:30:00,163.5,1.08,96.3,82.9,21.4,1007.6,10.989
2022-09-12 17:45:00,131.0,1.11,93.4,83.4,21.2,1007.6,7.548
2022-09-12 18:00:00,98.4,1.15,90.6,84.0,21.1,1007.7,5.959
2022-09-12 18:15:00,74.6,1.06,92.3,86.5,20.9,1007.9,3.136
2022-09-12 18:30:00,50.7,0.98,94.1,88.9,20.7,1008.0,1.111
2022-09-12 18:45:00,50.7,0.98,94.1,88.9,20.7,1008.0,1.111
2022-09-12 19:00:00,50.7,0.98,94.1,88.9,20.7,1008.0,1.111
2022-09-13 07:00:00,17.5,0.76,95.4,99.0,18.3,1011.5,1.632
2022-09-13 07:15:00,37.9,0.84,93.8,98.2,18.5,1011.5,5.555
2022-09-13 07:30:00,58.3,0.93,92.1,97.4,18.7,1011.6,8.428
2022-09-13 07:45:00,78.7,1.02,90.5,96.6,18.9,1011.7,10.593
2022-09-13 08:00:00,99.0,1.11,88.8,95.9,19.1,1011.7,15.386
2022-09-13 08:15:00,125.7,1.08,87.4,95.7,19.1,1011.7,22.422
2022-09-13 08:30:00,152.4,1.06,85.9,95.6,19.2,1011.6,24.948
2022-09-13 08:45:00,179.0,1.04,84.5,95.5,19.3,1011.5,30.2
2022-09-13 09:00:00,205.7,1.01,83.0,95.4,19.4,1011.4,34.6
2022-09-13 09:15:00,227.3,0.99,85.8,95.1,19.5,1011.3,36.924
2022-09-13 09:30:00,249.0,0.96,88.6,94.8,19.7,1011.2,40.293
2022-09-13 09:45:00,270.6,0.93,91.4,94.5,19.8,1011.0,45.8
